Neurite_ID,Length_um,Distance_From_Midline_um,Side,Start_X,Start_Y,End_X,End_Y
1,744,741.65,left,320,221,506,221
2,948.62,848.98,left,320,221,539,312
3,588.31,386.53,left,320,221,424,325
4,182.78,59.91,left,320,221,338,263
5,116,7.08,left,320,221,320,192
6,229.54,101.31,left,320,221,342,168
7,640.31,606.33,left,320,221,468,160
8,444.51,453.1,left,323.5,221.8,432.2,198.7
9,516.5,529.91,left,323.5,220.8,452.3,211.8
10,79.51,574.66,left,452.3,211.8,462.4,194.6
11,69.3,574.43,left,447.3,170.4,461.4,180.5
12,302.29,181.65,left,325.5,237,370.8,297.5
13,151.23,130.32,left,327.5,239,355.7,264.2
14,108.68,242.77,left,356.7,264.2,383.9,264.2
15,89.38,301.12,left,376.9,274.3,399,271.3
16,153.29,447.29,left,399,271.3,436.2,280.3
17,73.6,430.11,left,430.2,281.3,433.2,299.5
18,60.38,284.96,left,374.8,196.6,389.9,196.6
19,66.39,66.74,left,319.5,205.7,335.6,201.7
20,157.81,160.16,left,320.5,208.7,359.7,212.8
21,207.1,255.7,left,338.6,207.7,384.9,230.9
22,92.93,76.9,left,315.5,206.7,338.6,208.7
23,221.97,296.98,left,338.6,207.7,394,211.8
24,117.44,129.18,left,341.6,206.7,349.7,178.5
25,131.86,187.53,left,332.6,178.5,364.8,185.5
26,84.96,270.82,left,366.8,185.5,384.9,174.5
27,251.01,368.36,left,364.8,186.6,407,140.2
28,57.26,533.46,left,440.3,174.5,451.3,183.5
29,351.7,354.05,left,322.5,217.8,407,193.6
30,201.7,434.57,left,383.9,200.7,429.2,222.9
31,74.02,321.54,left,384.9,232.9,402,240
32,114.51,382.05,left,395,220.8,417.1,239
33,84.91,434.23,left,410.1,256.1,431.2,254.1
34,70.32,371.86,left,399,254.1,415.1,247.1
35,333.62,317.22,left,325.5,222.9,402,256.1
36,40.25,357.65,left,402,255.1,412.1,255.1
37,82.92,394.3,left,404,258.2,422.1,268.2
38,108.05,304.83,left,376.9,275.3,401,287.4
39,187.77,349.25,left,374.8,274.3,413.1,301.5
40,137.6,283.64,left,378.9,277.3,397,306.6
41,101.16,235.04,left,378.9,273.3,380.9,248.1
42,90.16,698.45,left,488.6,292.4,498.6,272.3
43,428.17,442.03,left,326.5,222.9,432.2,240
44,337.18,321.95,left,324.5,219.8,398,178.5
45,272.8,173.66,left,321.5,218.8,359.7,162.4
46,186.58,150.16,left,320.5,224.9,359.7,250.1
47,467.06,422.93,left,323.5,223.9,422.1,161.3
48,92.67,461,left,407,140.2,430.2,139.2
49,149.85,441.26,left,408.1,142.2,423.1,107.9
50,68.46,546.92,left,437.2,140.2,452.3,148.2
51,140.94,563.49,left,422.1,162.4,457.4,161.3
52,40.45,496.34,left,429.2,141.2,439.2,142.2
53,247.63,266.44,left,361.8,160.3,378.9,100.8
54,188.94,300.93,left,362.8,161.3,388.9,122
55,79.97,371.91,left,390.9,125,406,111.9
