Neurite_ID,Length_um,Distance_From_Midline_um,Side,Start_X,Start_Y,End_X,End_Y
1,350,348.05,right,321,153,391,153
2,661.15,591.96,right,321,153,443,204
3,1244.51,823.2,right,321,153,497,329
4,1087.31,351.42,right,321,153,404,354
5,15,0.37,right,321,153,321,150
6,22.36,9.92,right,321,153,323,149
7,70.71,51.68,right,321,153,331,143
8,305,305.07,right,322,163,383,163
9,724.24,652.55,right,322,163,456,218
10,1223.29,811.07,right,322,163,495,336
11,984.24,319.24,right,322,163,397,345
12,70,4.93,right,322,163,322,149
13,103.08,46.38,right,322,163,330,144
14,579.83,434.97,right,322,163,404,81
15,325,323.71,right,321,151,386,151
16,650,582.9,right,321,151,441,201
17,1258.65,833.18,right,321,151,499,329
18,1170,382.37,right,321,151,411,367
19,11.18,4.93,right,321,151,322,149
20,28.28,20.51,right,321,151,325,147
21,1001.92,898.5,right,322,169,507,246
22,1216.22,804.55,right,322,169,494,341
23,957.31,308.95,right,322,169,395,346
24,100,4.93,right,322,169,322,149
25,145.77,61.96,right,322,169,333,142
26,746.54,670.68,right,322,167,460,224
27,1237.44,819.22,right,322,167,497,342
28,968.47,313.94,right,322,167,396,346
29,90,4.93,right,322,167,322,149
30,130,56.67,right,322,167,332,143
31,865,861.57,right,322,171,495,171
32,995.39,893.21,right,322,171,506,247
33,1202.08,794.57,right,322,171,492,341
34,936.92,304.57,right,322,171,394,344
35,110,4.93,right,322,171,322,149
36,163.48,72.25,right,322,171,335,141
37,710,708.46,right,326,231,468,231
38,990.77,889.82,right,326,231,509,307
39,975.81,646.26,right,326,231,464,369
40,280.4,88.68,right,326,231,347,283
41,420,25.5,right,326,231,326,147
42,746.54,326.49,right,326,231,383,93
43,452.55,338.78,right,326,231,390,167
44,303.9,297.15,right,324.1,155.8,379.4,130.6
45,435.74,393.97,right,323.1,154.8,397.5,109.5
46,417.28,422.01,right,324.1,154.8,404.6,132.7
47,504.16,468.95,right,321.1,152.8,412.6,110.5
48,180.56,637.13,right,411.6,110.5,446.8,118.6
49,220.64,600.28,right,397.5,109.5,437.8,91.4
50,68.41,495.75,right,406.6,133.7,419.7,137.7
51,245.25,567.46,right,395.5,210.3,439.8,231.4
52,363.93,347.76,right,323.1,197.2,394.5,211.3
53,604.5,585.99,right,324.1,219.3,443.8,236.5
54,99.32,630.63,right,443.8,237.5,453.9,254.6
55,84.44,670.39,right,455.9,255.6,460.9,239.5
56,146.46,808.46,right,460.9,239.5,489.1,247.5
57,63.72,832.24,right,489.1,247.5,493.1,235.4
58,90.67,919.41,right,493.1,235.4,510.2,229.4
59,221.9,875.39,right,462.9,185.1,500.1,209.2
60,168.67,548.98,right,399.5,183,432.7,177
61,140.11,691.76,right,435.7,176,461.9,186.1
62,149.34,653.85,right,429.7,179,454.9,195.1
63,146.97,763.12,right,454.9,197.2,478,215.3
64,153.86,571.94,right,411.6,243.5,441.8,249.5
65,178.67,143.24,right,327.1,253.6,357.3,272.7
66,189.61,319.31,right,358.3,273.7,393.5,287.8
67,89.6,67.96,right,328.1,261.6,342.2,272.7
68,106.58,96.75,right,327.1,253.6,347.2,260.6
69,627.11,384.81,right,325.1,243.5,409.6,336.2
70,356.35,308.57,right,329.1,237.5,390.5,273.7
71,472.44,418.37,right,328.1,233.4,412.6,275.7
72,196.7,622.92,right,414.6,276.8,453.9,279.8
73,342.04,340.14,right,330.1,232.4,395.5,252.6
74,721.67,524.25,right,325.1,214.3,435.7,307
75,106.13,88.93,right,324.1,193.1,342.2,204.2
76,107.75,54.8,right,323.1,200.2,336.2,217.3
77,46.41,41.2,right,326.1,203.2,332.2,196.1
78,56.24,30.77,right,319.1,186.1,329.1,181
79,36.31,2.9,right,320.1,196.1,324.1,190.1
80,72.02,56.34,right,323.1,206.2,336.2,212.3
81,76.8,52.34,right,323.1,217.3,336.2,225.4
82,57.38,53.96,right,328.1,229.4,337.2,236.5
83,40.23,37.81,right,324.1,207.2,332.2,207.2
84,429.72,419.01,right,329.1,198.2,405.6,158.9
85,442.86,445.82,right,327.1,209.2,412.6,186.1
86,122.36,570.06,right,413.6,186.1,437.8,190.1
87,342.28,343.84,right,327.1,243.5,395.5,240.5
88,369.64,364.79,right,331.2,267.7,402.6,286.8
89,382.79,375.63,right,324.1,189.1,399.5,202.2
90,501.75,447.53,right,324.1,169.9,414.6,213.3
91,566.93,506.53,right,325.1,166.9,426.7,217.3
92,553.17,577.69,right,326.1,149.8,436.8,148.8
93,470.97,449.88,right,321.1,155.8,409.6,123.6
94,372.52,327.48,right,326.1,159.9,384.5,113.5
95,40.54,504.47,right,412.6,124.6,420.7,125.6
96,706.18,685.25,right,324.1,187.1,457.9,141.7
97,173.48,783.76,right,454.9,279.8,485,262.6
98,134.19,529.66,right,411.6,316.1,437.8,322.1
99,157.48,665.88,right,437.8,322.1,465.9,336.2
100,122.84,549.71,right,417.6,270.7,437.8,256.6
101,271.23,270.01,right,326.1,209.2,379.4,219.3
102,827.05,823.62,right,329.1,201.2,486,148.8
103,60.6,928.97,right,501.1,206.2,510.2,198.2
104,103.59,902.56,right,486,196.1,504.1,186.1
105,204.21,793.46,right,442.8,205.2,483,198.2
